Match,Over 1,Over 2,Over 3,Over 4,Over 5,Over 6,Over 7,Over 8,Over 9,Over 10,Over 11,Over 12,Over 13,Over 14,Over 15,Over 16,Over 17,Over 18,Over 19,Over 20
Match 136,8/0,19/1,20/2,24/2,38/2,50/2,57/2,62/3,68/3,81/3,89/3,90/4,94/4,96/5,97/7,100/7,106/7,113/9,119/10,N/A
Match 137,5/0,17/0,21/2,30/2,35/4,40/5,48/6,53/6,58/6,61/6,68/7,76/7,86/7,93/7,99/7,109/7,112/8,125/8,132/8,134/10
Match 138,13/0,19/1,21/2,23/3,29/3,33/4,43/5,45/5,49/5,49/6,56/6,59/6,67/6,75/6,77/6,90/6,94/6,105/6,112/7,117/8
Match 139,2/0,14/0,20/0,41/0,51/0,63/0,69/0,75/0,80/0,87/1,89/1,92/2,98/2,107/3,115/4,128/4,133/4,141/4,155/4,163/6
Match 140,3/0,5/0,17/1,29/1,40/1,53/2,61/3,66/3,72/4,78/4,87/4,89/4,92/4,105/4,113/4,115/5,124/5,132/6,135/7,150/7
Match 141,9/0,11/1,13/2,22/2,25/3,26/3,35/4,38/4,44/4,47/6,54/7,59/7,62/8,62/10,N/A,N/A,N/A,N/A,N/A,N/A
Match 142,1/1,4/1,17/1,23/1,26/1,29/1,34/1,40/1,44/1,50/2,53/3,58/4,60/4,64/4,79/4,85/4,91/4,101/4,108/4,113/5
Match 143,2/0,11/0,16/1,21/1,33/1,38/1,45/2,55/2,59/2,62/3,68/3,71/3,77/3,92/3,97/3,110/3,128/4,143/4,161/5,174/5
Match 144,3/1,8/2,12/2,20/2,27/2,40/2,46/3,60/3,70/3,83/3,90/3,100/4,107/4,112/5,123/5,134/5,142/5,153/5,173/5,185/6
Match 145,5/0,7/0,9/1,11/1,14/1,18/1,24/1,24/2,25/4,28/6,29/6,29/7,30/8,31/9,32/9,38/9,44/9,45/10,N/A,N/A
Match 146,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Match 147,11/0,26/0,36/0,50/0,62/0,75/1,83/1,97/1,106/1,116/1,134/2,140/3,147/3,153/3,164/3,173/3,187/3,209/3,217/3,221/3
Match 148,3/0,9/1,11/1,12/2,19/2,23/3,28/3,34/3,36/4,37/5,43/5,46/6,48/7,54/7,59/7,61/8,62/9,65/9,74/9,77/9
Match 149,5/0,19/0,21/1,24/2,29/2,37/3,45/3,45/4,47/4,48/4,51/5,54/5,56/5,69/6,72/6,75/6,77/6,82/8,88/8,101/9
Match 150,16/0,26/0,43/0,50/0,57/0,62/0,65/1,68/1,71/2,74/3,80/3,82/4,88/4,88/4,95/5,98/6,106/6,115/7,128/7,137/7
Match 151,10/0,16/0,30/0,33/0,42/0,60/0,66/0,86/0,97/0,102/0,108/1,131/1,140/2,149/3,161/4,171/4,181/5,197/6,203/7,210/8
Match 152,17/0,27/0,28/0,40/1,41/2,48/2,55/2,57/2,59/3,65/3,73/3,80/3,91/3,103/3,111/3,123/3,130/3,142/5,149/6,153/9
Match 153,6/0,12/1,24/1,34/1,42/1,53/1,61/2,62/2,67/2,77/2,81/2,90/2,99/2,104/2,108/3,113/4,128/4,141/4,156/4,174/4
Match 154,1/0,5/1,10/1,13/1,26/1,41/1,51/1,60/2,67/2,73/2,91/2,102/2,106/3,118/3,126/4,138/4,146/5,154/5,157/7,168/8
Match 155,8/0,16/0,33/0,59/0,71/0,91/0,99/0,108/1,118/1,134/1,147/1,155/1,163/1,176/1,185/2,193/2,202/2,218/3,229/3,244/4
Match 156,5/0,9/0,11/0,17/0,29/0,40/0,48/0,52/0,56/0,64/0,74/0,83/0,96/0,104/0,109/0,119/1,122/3,126/4,141/4,148/6
Match 157,2/1,15/1,22/2,31/2,39/2,49/2,63/2,73/2,87/2,103/2,107/3,110/3,128/4,136/4,142/5,N/A,N/A,N/A,N/A,N/A
